id_ikan,nama_ikan,ukuran_maksimum_cm,min_suhu_optimal_celcius,max_suhu_optimal_celcius,min_suhu_pH_air,max_suhu_pH_air,sifat_ikan
0,Betta Splendens (Cupang),7,24,28,6,7,1
1,Red Devil Cichlid (Amphilophus labiatus),30,25,28,6.5,7.5,2
2,Guppy (Poecilia reticulata),4,22,28,6.5,8,0
3,Komet (Carrasius),20,27,30,6,8.3,0
4,Manfish (Pterophyllum scalare),50,25,28,6,8,1
5,Koki (Carassius auratus),30,20,25,6.5,7.5,0
6,glofish (Poecilia reticulata),5,22,28,6.5,7.5,0
7,Zebra (Danio Rerio),5,22,28,6.5,7.5,0
8,Neon Tetra (Paracheirodon innesi),4,22,28,6.5,7.5,0
9,Platy (Xiphophorus maculatus),10,22,28,6.5,7.5,0
10,Molly (Poecilia sphenops),15,22,28,6.5,7.5,0
11,Botia (Botia macracanthus),25,24,28,6.5,7.5,0
12,Oscar ( Astronotus ocellaris),30,24,28,6.5,7.5,1
13,Arwana (Scleropages formosus),90,24,28,6.5,7.5,1
14,Channa (Channa spp),90,24,28,6.5,7.5,1
15,Blood Parrot (Mikrogeophagus ramirezi),10,24,28,6.5,7.5,1
16,Louhan (Cichlasoma kelberi),30,25,28,6.5,7.5,1
17,Gabus (Channa argus),100,22,26,6,7.5,2
18,Piranha (Serrasalmus spp),40,25,28,6,7.5,2
19,Datok (Channa micropeltes),35,24,28,6,7.5,2
20,Green Terror (Aequidens rivulatus),25,24,28,6.5,7.5,2
21,Bala Shark (Balantiocheilus melanopterus),10,22,26,6,7.5,2
